,Name,Bio,Twitter Profile,Website
0,Richard Craib,founder @numerai,https://twitter.com/richardcraib,https://t.co/lbi9UWdBlf
1,Cathie Wood,"Founder, CEO and CIO @ARKinvest. Thematic portfolio manager for disruptive innovation, mom, economist, and women's advocate. Disclosure: https://t.co/n3mPT4FQaz",https://twitter.com/CathieDWood,http://t.co/8rJryd9nwT
2,vitalik.eth,"Ethereum.

Fable of the Dragon Tyrant (not mine but it's important): https://t.co/imsWsmOAT8

Abolish daylight savings time (and leap seconds too)",https://twitter.com/VitalikButerin,https://t.co/IHF9ic0Ejh
3,Web3 Foundation,"Web3 Foundation is building an internet where users are in control of their own data, identity and destiny. Our primary projects are @Polkadot & @kusamanetwork.",https://twitter.com/web3foundation,https://t.co/6b4zrQfZni
4,Gavin Wood,"Founded Polkadot, Kusama, Ethereum, Parity, Web3 Foundation. Building Polkadot. All things Web 3.0",https://twitter.com/gavofyork,https://t.co/Krat6tKuFj
5,Aditya Singh,Co-Founder @CryptooIndia || PHD in Dheet Hodling of #Bitcoin,https://twitter.com/CryptooAdy,https://t.co/wJ3yaejGX6
6,Lyn Alden,Founder of Lyn Alden Investment Strategy. Fundamental investing with a global macro overlay. Finance/Engineering blended background.,https://twitter.com/LynAldenContact,https://t.co/0HTJ9b37aL
7,Charles Hoskinson,8830 AC64 17F2 5164 195C 05DE 21E3 E377 13E1 5586 | CEO of IOG and King of the Rats,https://twitter.com/IOHK_Charles  ,https://t.co/wq0AcJY3M8
8,Raoul Pal,"Founder/CEO - https://t.co/WL4VnN8Oal and https://t.co/5kr2Xppdic, Investment Strategist, Economic Historian, Traveller and Rum Drinker..Not a guru.",https://twitter.com/RaoulGMI,https://t.co/UMqPLusrs9
9,Sam Altman,@OpenAI,https://twitter.com/sama,https://t.co/teHmy8mwEz
10,Chris Burniske,Partner @placeholdervc supporting the public infrastructure of tomorrow; co-author #Cryptoassets 📔; formerly led crypto @ARKinvest. Find me in the water 🌊,https://twitter.com/cburniske,https://t.co/xg45G3YPFf
11,"Avichal - Electric⚡️Capital ┻┳ (¤,¤) 🍣🦙 🐇🕳",Entrepreneur; Founder @ElectricCapital; Investor: @anchorage @bitwise @boomaero @cruise @deel @dydx @nearprotocol @newfronthq @notionhq @opensea @pulley,https://twitter.com/avichal,https://t.co/zu4EZyDGHh
12,Balaji Srinivasan,"Immutable money, infinite frontier, eternal life. #Bitcoin",https://twitter.com/balajis,https://t.co/ZcfxuQNXt2
13,Andreas,"#Bitcoin & Open Blockchains, since 2012. 

Author of 5 books. 

Learn for FREE: https://t.co/Copsp37g5y

My 4k+ follows are now private lists",https://twitter.com/aantonop,https://t.co/crwv5oIgbJ
14,Barry Silbert,"Founder/CEO @DCGco, parent of @Grayscale @GenesisTrading @CoinDesk @TradeBlock @FoundryServices @LunoGlobal, investor in 180 cos",https://twitter.com/BarrySilbert,https://t.co/dI2vGljwzr
15,Fred Wilson,I am a VC,https://twitter.com/fredwilson,http://t.co/Ws012GffKI
16,Coin Bureau (guy.eth),Jack of all crypto trades. Everything except a Financial Advisor. Tweets NOT Financial Advice.,https://twitter.com/coinbureau,https://t.co/6NYGEbXnrs
17,Jaynti Kanani (JD) — Polygon 💜,Co-founder @0xPolygon. Husband and Father.,https://twitter.com/_jdkanani,https://t.co/Y4Lk8G1h7X
18,Sandeep | Polygon 💜,"Co-founder @0xPolygon, Founder @cryptorelief_ (https://t.co/xCjX1NWAMA) Dedicated to mass adoption of blockchains!",https://twitter.com/sandeepnailwal,https://t.co/2HI2N1v9GZ
19,glassnode,"On-chain market analysis | Advanced charts, data, and insights for investors in #Bitcoin & digital assets | Telegram: https://t.co/Rd5PgWCy4G | Alerts: @glassnodealerts",https://twitter.com/glassnode,https://t.co/9CuLampRoh
20,jason@calacanis.com,meme dealer; investing in startups like @uber @thumbtack @robinhoodapp @desktopmetal @calm @densityio; dealflow https://t.co/6leeScky9Y pod   @twistartups @theallinpod,https://twitter.com/Jason,https://t.co/bGm4KYIWyS
21,Willy Woo,#Bitcoin on-chain analyst: extracting investment signals from its blockchain. My market forecasts available on https://t.co/fyZpABjnUe,https://twitter.com/woonomic,https://t.co/uz7dAjHuN5
22,croissant,writer of threads,https://twitter.com/CroissantEth,https://t.co/DxR7cFddtA
23,Benjamin Cowen,"Crypto Quant. Analysis PhD Engineering
https://t.co/9eWsnXQVCs",https://twitter.com/intocryptoverse,https://t.co/Llgs17EVN0
24,"stani.eth (👻,🐻‍❄️,🦎.🦎)",Founder & PsyOps @AaveAave Venture Partner @VariantFund Contributor to @PleasrDAO @FlamingoDAO @VENTURE_DAO - Opinions my own - Google 1998 vibes 🐬☁️,https://twitter.com/stanikulechov,https://t.co/zDshptYKqw
25,PlanB,"https://t.co/Ry7rqPRR8t
Bitcoin analysis - For informational purposes only - Not financial advice
1PRoNLcWHzM8DuKpGE4YM9hb1PjSEnWRpn
Watch out for ""send me DM"" scammers!",https://twitter.com/100trillionUSD,https://t.co/yz9t8nwhv0
26,"Zeus Ω (3, 3)",memes and dreams @OlympusDAO,https://twitter.com/ohmzeus,
27,dame.eth,Community at @rainbowdotme 🌈 Non-Binary 🌼,https://twitter.com/jacksondame,https://t.co/pkfCQ1kFW0
28,Adam Back,"cypherpunk, cryptographer, privacy/ecash, inventor hashcash (used in Bitcoin mining) PhD Comp Sci https://t.co/L69Em1yrDX Co-Founder/CEO https://t.co/oZ3YfQylms",https://twitter.com/adam3us,https://t.co/6X3NGNHMQQ
29,Arjun Balaji,"crypto investments @paradigm, technology, history, strategy games, boston sports. optimist",https://twitter.com/arjunblj,https://t.co/0fv44QiM8v
30,"st (∞, ∞)","“you want to be immortal? fight to be immortal. if you fail, it’s not important”",https://twitter.com/seyitaylor,
31,muneeb.btc,"Founder @Stacks, smart contracts for #Bitcoin",https://twitter.com/muneeb,https://t.co/9QaCJHuEoQ
32,Thomas,"Dad, nerd, coffee | 🧙‍♂️@🧙‍♂️.☕ papa#1151 https://t.co/x9rPVigHiF 32

Satoshi bless wow 🥷🏿",https://twitter.com/papacthulu,
33,"Packy McCormick (📜,📜)",Not Boring: https://t.co/sjRMEhn6Ab || Not Boring Capital || Advisor web3 @a16z,https://twitter.com/packyM,https://t.co/Ai62ur76Ji
34,"Coopahtroopa.eth 🔥,🔥",Leading the Creator Economy @fwbtweets @variantfund @audiusproject + many more 🔮,https://twitter.com/Cooopahtroopa,https://t.co/oswoSTDdc4
35,brantly.eth,"Catholic, husband, father | dir. of ops @ensdomains | ENS help: https://t.co/EECXd4Tu4q",https://twitter.com/BrantlyMillegan,
36,cdixon.eth,"Programming, philosophy, history, internet, startups, web3 @ a16z",https://twitter.com/cdixon,https://t.co/Pi9mfvtXVl
37,dannypostma.eth (✨🪶),Sold my web2 company (https://t.co/VXgQDqbZ0j). Now building web3 stuff. Currently https://t.co/iDZVAOSp3m ✨. Builds in public here. Member of @ShinyObjectSC 🪶 and @developer_dao,https://twitter.com/dannypostmaa,
