,Name,Bio,Twitter Profile,Website,Image
0,Richard Craib,founder @numerai,https://twitter.com/richardcraib,https://t.co/lbi9UWdBlf,http://pbs.twimg.com/profile_images/1350802499578556416/cHz-uxIo_normal.jpg
1,Cathie Wood,"Founder, CEO and CIO @ARKinvest. Thematic portfolio manager for disruptive innovation, mom, economist, and women's advocate. Disclosure: https://t.co/n3mPT4FQaz",https://twitter.com/CathieDWood,http://t.co/8rJryd9nwT,http://pbs.twimg.com/profile_images/1425157394431107074/dvUgQkt8_normal.jpg
2,vitalik.eth,"Ethereum.

Fable of the Dragon Tyrant (not mine but it's important): https://t.co/imsWsmOAT8

Abolish daylight savings time (and leap seconds too)",https://twitter.com/VitalikButerin,https://t.co/IHF9ic0Ejh,http://pbs.twimg.com/profile_images/977496875887558661/L86xyLF4_normal.jpg
3,Web3 Foundation,"Web3 Foundation is building an internet where users are in control of their own data, identity and destiny. Our primary projects are @Polkadot & @kusamanetwork.",https://twitter.com/web3foundation,https://t.co/6b4zrQfZni,http://pbs.twimg.com/profile_images/1162751266432442369/cjjjE5un_normal.png
4,Gavin Wood,"Founded Polkadot, Kusama, Ethereum, Parity, Web3 Foundation. Building Polkadot. All things Web 3.0",https://twitter.com/gavofyork,https://t.co/Krat6tKuFj,http://pbs.twimg.com/profile_images/981390758870683656/RxA_8cyN_normal.jpg
5,Aditya Singh,Co-Founder @CryptooIndia || PHD in Dheet Hodling of #Bitcoin,https://twitter.com/CryptooAdy,https://t.co/wJ3yaejGX6,http://pbs.twimg.com/profile_images/1358112779371114503/oFQ9zfKQ_normal.jpg
6,Lyn Alden,Founder of Lyn Alden Investment Strategy. Fundamental investing with a global macro overlay. Finance/Engineering blended background.,https://twitter.com/LynAldenContact,https://t.co/0HTJ9b37aL,http://pbs.twimg.com/profile_images/1366094142405812234/LCWXc4QQ_normal.jpg
7,Charles Hoskinson,8830 AC64 17F2 5164 195C 05DE 21E3 E377 13E1 5586 | CEO of IOG and King of the Rats,https://twitter.com/IOHK_Charles  ,https://t.co/wq0AcJY3M8,http://pbs.twimg.com/profile_images/1472752344131682305/a1_VLs8Q_normal.jpg
8,Raoul Pal,"Founder/CEO - https://t.co/WL4VnN8Oal and https://t.co/5kr2Xppdic, Investment Strategist, Economic Historian, Traveller and Rum Drinker..Not a guru.",https://twitter.com/RaoulGMI,https://t.co/UMqPLusrs9,http://pbs.twimg.com/profile_images/1454815370989211653/U1DzWkSz_normal.jpg
9,Sam Altman,@OpenAI,https://twitter.com/sama,https://t.co/teHmy8mwEz,http://pbs.twimg.com/profile_images/804990434455887872/BG0Xh7Oa_normal.jpg
10,Chris Burniske,Partner @placeholdervc supporting the public infrastructure of tomorrow; co-author #Cryptoassets 📔; formerly led crypto @ARKinvest. Find me in the water 🌊,https://twitter.com/cburniske,https://t.co/xg45G3YPFf,http://pbs.twimg.com/profile_images/1080071252377665538/2M5hWD9P_normal.jpg
11,"Avichal - Electric⚡️Capital ┻┳ (¤,¤) 🍣🦙 🐇🕳",Entrepreneur; Founder @ElectricCapital; Investor: @anchorage @bitwise @boomaero @cruise @deel @dydx @nearprotocol @newfronthq @notionhq @opensea @pulley,https://twitter.com/avichal,https://t.co/zu4EZyDGHh,http://pbs.twimg.com/profile_images/902647890840920064/IzSKaY1c_normal.jpg
12,Balaji Srinivasan,"Immutable money, infinite frontier, eternal life. #Bitcoin",https://twitter.com/balajis,https://t.co/ZcfxuQNXt2,http://pbs.twimg.com/profile_images/1406974882919813128/LOUb2m4R_normal.jpg
13,Andreas,"#Bitcoin & Open Blockchains, since 2012. 

Author of 5 books. 

Learn for FREE: https://t.co/Copsp37g5y

My 4k+ follows are now private lists",https://twitter.com/aantonop,https://t.co/crwv5oIgbJ,http://pbs.twimg.com/profile_images/1362967502247129090/Q2ypSr9W_normal.jpg
14,Barry Silbert,"Founder/CEO @DCGco, parent of @Grayscale @GenesisTrading @CoinDesk @TradeBlock @FoundryServices @LunoGlobal, investor in 180 cos",https://twitter.com/BarrySilbert,https://t.co/dI2vGljwzr,http://pbs.twimg.com/profile_images/1198708908136775684/GbjUois4_normal.jpg
15,Fred Wilson,I am a VC,https://twitter.com/fredwilson,http://t.co/Ws012GffKI,http://pbs.twimg.com/profile_images/3580641456/82c873940343750638b7caa04b4652fe_normal.jpeg
16,Coin Bureau (guy.eth),Jack of all crypto trades. Everything except a Financial Advisor. Tweets NOT Financial Advice.,https://twitter.com/coinbureau,https://t.co/6NYGEbXnrs,http://pbs.twimg.com/profile_images/1364405835414315012/h5DCwcAu_normal.jpg
17,Jaynti Kanani (JD) — Polygon 💜,Co-founder @0xPolygon. Husband and Father.,https://twitter.com/_jdkanani,https://t.co/Y4Lk8G1h7X,http://pbs.twimg.com/profile_images/1245384938246955008/EDveJB3B_normal.jpg
18,Sandeep | Polygon 💜,"Co-founder @0xPolygon, Founder @cryptorelief_ (https://t.co/xCjX1NWAMA) Dedicated to mass adoption of blockchains!",https://twitter.com/sandeepnailwal,https://t.co/2HI2N1v9GZ,http://pbs.twimg.com/profile_images/1419734349017227266/i_SAQBaL_normal.jpg
